ENGINE_ID,ENGINE_NAME,ENGINE_FAMILY,ENGINE_ALT_NAME,FIRST_LAUNCH_YEAR,USAGE,MASS,IMPULSE,THRUST,SPECIFIC_IMPULSE,DURATION,CHAMBER_COUNT
1,"# Mk 7, 23, 25",,,,,,,,,,
2,1.5KS35000,Recruit,Recruit XM19,1956,Recruit,153,262,156,,1.7,1
3,1.8KS7800,Sparrow,,,Sparrow,70,63,35,,1.8,1
4,10KS2500,,,1957,Polaris FTV,80,111,11,,10,1
5,11D416,,,,,,,16.4,,,1
6,11D428,11D428,,,Yantar URD-II,,,.11,,,1
7,11D428A,11D428,,,Progress M/Soyuz TM/,,,.13,291,,1
8,11D429,,,1974,Molniya-1 mod,,80,2,290,,1
9,11D430,KRD 17D52,,,Yantar 2K,,,29.4,307,,1
10,11D458,11D458,,1977,FGB DPS,,,.39,252,,1
11,11D49,S5.23,,,S3M,,,157.5,303,335,1
12,11D49 [Old],S5.23,,,S3M [See N2O4],,,157.5,303,335,1
13,11D511,RD-108,,,Soyuz A,,,978,316,290,4
14,11D512,RD-108,,,Soyuz BVGD,,,1000,314.5,120,4
15,11D55,RD-0106,RD-0110?,1965,Blok I,,,298,326,250,4
16,11D58,RD-58,,1967,Blok D,,,85,349,600,1
17,11D58M,RD-58,,1976,Blok DM,,,85,352,680,1
18,11D58M,RD-58M,,1976,Blok D-1,,,83.5,362,680,1
19,11D79,,,,,,,44,295,,1
20,12-AS-1000,F-80 JATO,,1945,JATO,50,,4.4,,12,1
21,12KS10000,BB3,BB3B,1967,BB3B,292,552,43.7,236.2,12,1
22,14-AS-1000,JATO,,1945,JATO Mk 2?,50,,4.4,,14,1
23,14-NS-1000,JATO,,1945,JATO,50,,4.4,,14,1
24,15-KS-1000,JATO,,1945,JATO Mk 6,63,,4.4,,15,1
25,15D13,"8D423, 5D13 type",,,UR-100 St 2,,,131,325,,1
26,15D14,"8D419, 5D13 type",,,UR-100 vernier,,,,,,1
27,15D15,,15D151,1967,RT-20P [1],16700,,600,260,65,4
28,15D169,15D12 type,,,MR-UR-100 [2],,,147,330,,
29,15D171,,,,MR-UR-100 BR,500,,,,,1
30,15D206,,,,RT-23 [1],53700,,2060,,,1
31,15D207,,,,RT-23 [2],25000,,1050,,,1
32,15D23,RT-2,,,RT-2 [1],34550,,893,,75.4,1
33,15D23P,RT-2,,,RT-2P [1],34550,,981,,75.4,1
34,15D24,RT-2,,,RT-2 [2],9600,,432,,59,1
35,15D24P2,RT-2,,,RT-2P [2],11280,,440,,60.6,4
36,15D25,RT-2,,,RT-2 [3],3500,,215,,45,1
37,15D27,RT-2,,1965,RT-15 [1],11000,,412,,60,4
38,15D290,,,,RT-23 [2],25000,,1050,,,1
39,15D305,,,,RT-23 [1],53700,,2060,,,1
40,15D339,,,,RT-23 [2],25000,,1050,,,1
41,15D92,RT-2,,,,4500,,,,,1
42,15D94,RT-2,,,RT-2P [3],4640,,176,271,49,1
43,15KS25000,BB,,1957,Black Brant I,970,1670,111,217,15,1
44,15Zh58A,Topol,,,Start-1 [1],26000,,980,263,60,1
45,15Zh58B,Topol,,,Start-1 [2],13000,,490,280,64,1
46,15Zh58V,Topol,,,Start-1 [3],6000,,245,280,56,1
47,15Zh59A,,,,Kuryer [1],5000,,,,,1
48,15Zh59B,,,,Kuryer [2],5000,,,,,1
49,15Zh59V,,,,Kuryer [3],3000,,,,,1
50,17D12,RD-58 (Buran ODU),,1988,Buran,,,86.3,362,680,1
51,17D61,KRD 17D61,,1979,Ikar; Yantar 1KFT,,,29.4,307.9,600,1
52,17KS12000,BB5,Nihka,1981,BB10 [3],402,915,53,284.9,17.8,1
53,1KS420,,,1959,Explorer 6,2,2,22,,1,1
54,2-AS-22000,Nike-46,,1946,Nike-46,100,200,98,,2,1
55,2.5-AS-18000,Nike-47,,1946,Nike-47,100,200,80,,2.5,1
56,2.5-DS-59000,,,,Nike Deacon mod,700,,265,,2.5,1
57,2.5KS18000,Aerobee Booster,Aerobee JATO,1947,Aerobee [0],260,200,80,,2.5,1
58,21AL-2600,Nike,,1947,Nike 47 Ajax [2],,,11.4,,21,1
59,22.6KS1245,Sparrow,,1965,Sparoair III [2],60,124,5.5,,22.6,1
60,23KS11000,Alcor,Alcor IA,,Alcor IA,500,,49,,23,1
61,23KS20000,BB,,1957,Black Brant IIB,1113,2050,89,217,23,1
62,26KS20000,BB5,BB5,,BB5,1167,2251,89,230.2,26,1
63,27D6,,,,Kontakt [1],3000,,,,,1
64,28D6,,,,Kontakt [2],1000,,,,,1
65,29D6,,,,Kontakt [3],500,,,,,1
66,2S-SL,,,2017,PDV Target [2],1000,,,,,1
67,3-DS-47000,Nike,X-201A3 T-39,1950,Nike X201 Ajax,700,,209,,3,1
68,3.52KS8500,Viper,,1960,Viper,87,142,37.8,,3.5,1
69,3.52KS8500,,Viper IIB,1968,Viper,89,144,35.8,,3.2,1
70,3.8KS8040,,Viper II,1959,Viper II,90,135,35.8,207,3.8,1
71,30AS1000,,,1944,Private A,174,133,4.4,184,30,1
72,30KS8000,Alcor,Alcor I,,Alcor I,478,1070,36,,30,1
73,33KS2800,,,1957,Vanguard [3],250,347,12.5,,33,1
74,3D17,,,1973,R-31 [1],16000,,579,,84,1
75,3D65,,,,R-39 [1],53700,,2060,,,1
76,3KS33000,,Regulus JATO,1950,Regulus 1,400,440,147,,3,1
77,48N6,,,,48N6,1500,,,,,1
78,4D10,,,,R-27,,,255,,128,1
79,4DS105000,JATO,X-202C1,1950,JATO/Talos,800,1900,470,,4,1
80,4DS105000,JATO,X-202C6,1950,HJ prototype,800,1870,470,,4.4,1
81,4KS115000,,Regulus JATO,1950,Regulus 2,800,2000,512,,4,1
82,5.6KS5400,,Viper IC,1950,Viper I,91,134,24,209,5.6,1
83,500N AKE,,,2002,DRTS,,,.55,319.5,,1
84,51T6 Motor,,,1968,A-350 booster,15000,,,,5,1
85,51T6B ZhRD,5D22?,,,51T6 [2],,,131,,40,1
86,53T6,,,,53T6,10000,,,,,1
87,5D22,5D13 type,,,A-350Zh St2,,,131,,40,1
88,5KS50000,TX-77?,,1958,X-7A3 Booster,900,,222,,5,1
89,5S24,,,,V-825 [1],14000,,,,,1
90,5S47,,,1968,A-350Zh booster,15000,,,,5,1
91,5Ya26,,,,5Ya26,10000,,,,,1
92,8-AS-1000,JATO,8-AS-1000,1945,KAN-1 Litte Joe,,,4.4,,8,1
93,8D725,,,,,,,117,325,,1
94,8D727,RD-108,RD-108MM,,Sputnik,,,833,308,340,4
95,8D728,RD-108,RD-107MM,,Molniya,,,921,257,140,4
