ENGINE_ID,MANUFACTURER_ORG_CODE
2,THKE
3,AJ
4,THKE
5,ISAEV
6,KHMM
7,KHMM
8,ISAEV
9,KHMM
10,KHMM
11,KHMM
12,KBKHA
13,EMASH
14,EMASH
15,KBKHA
16,EMASH
17,VORO
18,VORO
19,SOYUZ
20,AJP
21,BAL
22,AJP
23,AJP
24,AJP
25,KLIMOV
26,KLIMOV
27,NII125
27,YUZH
28,YUZH
29,YUZH
30,YUZH
31,YUZH
32,ARSL
33,ARSL
34,ARSL
35,ARSL
36,ARSL
37,TSKB7
38,YUZH
39,YUZH
40,YUZH
41,TSKB7
42,ARSL
43,BAL
44,MITT
45,MITT
46,MITT
47,VOTK
48,VOTK
49,VOTK
50,VORO
51,KHMM
52,BAL
53,ATLR
54,AJ
55,AJ
56,ABL
57,AJ
58,AJGC
59,NMC
60,AJ
61,BAL
62,BAL
63,KAZOKB
64,KAZOKB
65,KAZOKB
66,DRDO
67,ABL
68,GCR
69,SDCO
70,GCR
71,AJ
72,AJ
73,GRC
74,PERM
75,YUZH
76,AJ
77,FAKEL
78,ISAEV
79,ABL
80,ABL
81,AJ
82,GCR
83,IHI
84,KAZSOY
85,KLIMOV
86,KAZSOY
86,PERM
87,KLIMOV
88,THKX
89,KAZSOY
90,KAZSOY
91,KAZSOY
91,PERM
92,AJP
93,EMASH
94,EMASH
95,EMASH
96,EMASH
97,EMASH
98,EMASH
99,EMASH
100,BAL
101,BAL
102,VOTK
103,VOTK
104,VOTK
105,VOTK
106,VOTK
107,VOTK
108,KAZSOY
109,KLIMOV
110,HVP
111,AJSP
112,AJSP
113,AJSP
114,AJSP
115,ABL
116,AJSP
117,AJGC
118,AJGC
119,AJGC
120,AJGC
121,AJGC
122,AJGC
123,AJGC
124,AJGC
125,AJGC
126,AJGC
127,AJGC
128,AJGC
129,AJGC
130,AJGC
131,AJGC
132,AJGC
133,AJGC
134,AJGC
135,AJGC
136,AJGC
137,AJGC
138,AJGC
139,AJGC
140,AJ
140,NKE
141,AJ
142,AJGC
143,RDYNE
144,VSSC
145,VSSC
146,VSSC
147,VSSC
148,VSSC
149,AJCA
150,IAI
151,IAI
152,RAFL
153,PKNDC
154,IQ
155,IQ
156,UNK
157,AJGC
158,AJSP
159,AJ
160,ASTO
161,CFTHB
162,DRDO
163,DRDO
