LAUNCH_ID,AGENCY_ORG_CODE
1,WEHR
2,WEHR
3,WEHR
4,WEHR
5,WEHR
6,WEHR
7,WEHR
8,WEHR
9,WEHR
10,WEHR
11,WEHR
12,WEHR
13,WEHR
14,WEHR
15,WEHR
16,WEHR
17,WEHR
18,WEHR
19,WEHR
20,WEHR
21,WEHR
22,WEHR
23,WEHR
24,WEHR
25,WEHR
26,WEHR
27,WEHR
28,WEHR
29,WEHR
30,WEHR
31,WEHR
32,WEHR
33,WEHR
34,WEHR
35,WEHR
36,WEHR
37,WEHR
38,WEHR
39,WEHR
40,WEHR
41,WEHR
42,WEHR
43,WER836-3
44,WER444
45,WER444
46,WER485-2
47,WER444
48,WER836-3
49,WER485-2
50,WEHR
51,WER444
52,WER444
53,WER500
54,WER500
55,WER836-1
56,WER271-1
57,WER271-1
58,WER271-1
59,WER271-1
60,WER271-1
61,WER271-1
62,WEHR
63,WEHR
64,WEHR
65,WEHR
66,WEHR
67,WEHR
68,WEHR
69,WEHR
70,JPL
71,JPL
72,JPL
73,JPL
74,JPL
75,JPL
76,JPL
77,JPL
78,JPL
79,JPL
80,JPL
81,JPL
82,JPL
83,JPL
84,JPL
85,JPL
86,JPL
87,JPL
88,JPL
89,JPL
90,JPL
91,JPL
92,JPL
93,JPL
94,WEHR
95,WER444
96,WER485
97,WEHR
98,WEHR
99,WEHR
100,WEHR
101,WEHR
102,WEHR
103,WEHR
104,WEHR
105,WEHR
106,WEHR
107,WEHR
108,WEHR
109,WEHR
110,WEHR
111,WER485
112,WER836
113,WER836
114,WER444
115,WER444
116,WER500
117,WER500
118,WER444
119,WER444
120,WER500
121,WEHR
122,WER500
123,WER444
124,WER444
125,WER500
126,WER500
127,WER500
128,WER500
129,WER485-1
130,WER500
131,WER500
132,WEHR
133,WER836-2
134,WER836-2
135,WER836-2
136,WER836-2
137,WER836-2
138,WER836-3
139,WER836-3
140,WER836-3
141,WER836-3
142,WER836-1
143,WEHR
144,WER836-1
145,WER836-1
146,WER836-1
147,WER836-1
148,WER836-1
149,WER836-1
150,WER836-2
151,WER836-2
152,WER836-2
153,WER836-2
154,WEHR
155,WER836-2
156,WER836-3
157,WER836-3
158,WER444
159,WER836-1
160,WER836-1
161,WER836-1
162,WER836-1
163,WER836-1
164,WER836-1
165,WEHR
166,WER836-1
167,WER836-1
168,WER836-1
169,WER836-1
170,WER444
171,WER444
172,WER836-1
173,WER836-1
174,WER836-2
175,WER485-2
176,WEHR
177,WER485-1
178,WER485-3
179,WER836
180,WER836
181,WER836-1
182,WER836-1
183,WER836-1
184,WER836-1
185,WER836-1
186,WER836-1
187,WEHR
188,WER836-2
189,WER836-1
190,WER836-1
191,WER836-1
192,WER836-1
193,WER485-2
194,WER836-1
195,WER836-1
196,WER836-1
197,WER836-1
198,WEHR
199,WER836-1
200,WER836-1
201,WER836-1
202,WER836-3
203,WER836-1
204,WER836-1
205,WER836-1
206,WER836-1
207,WER836-1
208,WER836-1
209,WEHR
210,WER836-1
211,WER836-1
212,WER836-1
213,WER836-1
214,WER836-1
215,WER836-1
216,WER836-1
217,WER836-1
218,WER836-1
219,WER836-1
220,WEHR
221,WER836-1
222,WER836-1
223,WER836-1
224,WER836-1
225,SS500
226,WER444
227,WER444
228,WER271-1
229,WER271-1
230,WER271-1
231,WEHR
232,WER271-1
233,SS500
234,WER485-1
235,WER485-3
236,WEHR
237,WER836
238,WER836
239,WER271-1
240,WER271-1
241,WER271-1
242,WEHR
243,WER271-1
244,WER271-1
245,WER271-1
246,WER271-1
247,WER271-1
248,WER271-1
249,WER271-1
250,WER271-1
251,WER271-1
252,WER271-1
253,WEHR
254,WER271-1
255,WER271-1
256,WER271-1
257,WER271-1
258,WER271-1
259,WER271-1
260,WER271-1
261,WER271-1
262,WER271-1
263,WER271-1
264,WEHR
265,WER271-1
266,WER271-1
267,WER271-1
268,WER271-1
269,WER271-1
270,WER271-1
271,WER271-1
272,WER271-1
273,WER271-1
274,WER271-1
275,WEHR
276,WER271-1
277,WER271-1
278,WER271-1
279,WER271-1
280,WER271-1
281,WER271-1
282,WER271-1
283,WER271-1
284,WER271-1
285,WER271-1
286,WEHR
287,WER271-1
288,WER271-1
289,WER271-1
290,WER271-1
291,WER271-1
292,WER271-1
293,WER271-1
294,WER836
295,WER485-1
296,WER485-3
297,WEHR
298,WER485-1
299,SS500
300,WER271-1
301,WER271-1
302,WER271-1
303,WER271-1
304,WER271-1
305,WER271-1
306,WER271-1
307,WEHR
308,WEHR
309,WER271-1
310,WER271-1
311,WER271-1
312,WER271-1
313,WEHR
314,WEHR
315,WEHR
316,WEHR
317,WEHR
318,WEHR
319,WEHR
320,WEHR
321,WEHR
322,WEHR
323,WEHR
324,WEHR
325,WEHR
326,WEHR
327,WEHR
328,WEHR
329,WEHR
330,WEHR
331,WEHR
332,WEHR
333,WEHR
334,WEHR
335,WEHR
336,WEHR
337,WEHR
338,WEHR
339,WEHR
340,WER444
341,WEHR
342,WEHR
343,WEHR
344,WEHR
345,WEHR
346,WEHR
347,WEHR
348,WEHR
349,WEHR
350,WER485
351,WER485-2
352,WER485
353,WER444
354,WER444
355,WEHR
356,WEHR
357,WER485-2
358,WER485-2
359,WER485-2
360,WER485-2
361,WER485-2
362,WER485-2
363,WER485-2
364,WEHR
365,WEHR
366,WEHR
367,WEHR
368,WEHR
369,WEHR
370,WEHR
371,WEHR
372,WEHR
373,WER836-3
374,WEHR
375,WEHR
376,WEHR
377,WEHR
378,WEHR
379,WEHR
380,WEHR
381,WEHR
382,WEHR
383,WEHR
384,WER485-2
385,WEHR
386,WEHR
387,WEHR
388,WEHR
389,WEHR
390,WEHR
391,WEHR
392,WEHR
393,WEHR
394,WEHR
395,WER485-2
396,WEHR
397,WEHR
398,WEHR
399,WEHR
400,WEHR
401,WEHR
402,WEHR
403,WEHR
404,WEHR
405,WEHR
406,WER444
407,WEHR
408,WEHR
409,WEHR
410,WEHR
411,WEHR
412,WEHR
413,WEHR
414,WEHR
415,WEHR
416,WEHR
417,WER836-3
418,WEHR
419,WEHR
420,WEHR
421,WEHR
422,WER485-2
423,WER444
424,WER444
425,WER444
426,WER485-2
427,WER485-2
428,WER485-2
429,WER444
430,WER444
431,WER485-2
432,WER836-3
433,WER485-2
434,WER444
435,WER836-2
436,WER485-2
437,WER444
438,WER836-3
439,WER485-2
440,WER444
441,WER485-2
442,WER444
443,WER485-2
444,WER836-3
445,WER485-2
446,WER500
447,WER500
448,WER500
449,WER485-2
450,WER485-2
451,WEHR
452,WER836-1
453,WER444
454,WEHR
455,WER485
456,WER485-1
457,WER485-1
