LV_ID,STAGE_NAME,STAGE_NO,IS_DUMMY,MULTIPLICITY,STAGE_IMPULSE,STAGE_APOGEE,STAGE_PERIGEE
1,V-1000,1,0,1,,25,-6300
1,V-1000 Booster,0,0,1,,2,-6378
2,48N6,1,0,1,,40,-6378
3,53T6,1,0,1,,100,-6300
5,A-1,1,0,1,,100,-6300
6,A-350,2,0,1,,300,-6300
6,A-350 Booster,1,0,1,,10,-6370
7,A-350Zh,2,0,1,,100,-6300
7,A-350Zh Booster,1,0,1,,10,-6370
8,V-2,1,0,1,,100,-6300
9,V-2,1,0,1,,80,-6300
10,A-925,2,0,1,,100,-6300
10,A-925 Booster,1,0,1,,10,-6370
11,AAD,1,0,1,,40,-6370
12,Lupus,1,0,1,,20,-6378
13,F4D Phantom,0,0,1,,0,-6378
13,Genie-Alarr,1,0,1,,100,-6300
14,F-104A Starfighter,0,0,1,,0,-6378
14,Viper I,1,0,1,,70,-6378
15,Orion 50S,1,0,1,,33,-6378
15,Star 37FMV,2,0,1,,200,-6378
16,AMROC IRR,1,0,1,,1,-6378
17,Oriole,2,0,1,,368,-6378
17,Star 20,3,0,1,,368,-6378
17,Terrier Mk 70,1,0,1,,10,-6378
18,Orion 38,4,0,1,,740,740
18,Orion 50,3,0,1,,714,-3000
18,Orion 50,2,0,1,,180,-5000
18,SR118,1,0,1,,50,-6200
19,Castor,1,0,1,,30,-6300
19,Recruit,0,0,2,,2,-6378
19,TX-261,2,0,1,,30,-6300
20,ASAT,1,0,1,,70,-6370
20,Star 20,2,0,1,,1000,-6300
21,Asp,1,0,1,,30,-6370
21,Baby Sergeant,2,0,1,,100,-6370
22,AS-0,0,0,2,,30,-6300
22,AS-1,1,0,1,,50,-6300
22,AS-2,2,0,1,,110,-5000
22,AS-3,3,0,1,,430,-3580
22,AS-4,4,0,1,,430,400
23,ATACMS,1,0,1,,120,-6300
24,RH-ATV,1,0,1,,60,-6370
24,RH-ATV,2,0,1,,400,-6370
25,Ababeel St 3,3,0,1,,300,-6300
25,DF-21,1,0,1,,80,-6370
25,Shaheen 3 St 2,2,0,1,,300,-6300
26,Aeolus Booster,1,0,1,,5,-6370
26,Mayfly,2,0,1,,80,-6370
27,Gosling IV,1,0,1,,10,-6370
27,Vela,2,0,1,,150,-6370
28,Aerobee 150,2,0,1,,100,-6370
28,Aerobee Booster,1,0,1,,10,-6370
29,Aerobee 100,2,0,1,,90,-6370
29,Aerobee Booster,1,0,1,,10,-6370
30,Aerobee 150,2,0,1,,200,-6370
30,Aerobee Booster,1,0,1,,10,-6370
31,Aerobee 150,2,0,1,,200,-6370
31,VAM-17,1,0,1,,10,-6370
32,Aerobee 150,2,0,1,,200,-6370
32,VAM-20,1,0,1,,10,-6370
33,Aerobee 150,2,0,1,,200,-6370
33,VAM Booster,1,0,1,,10,-6370
34,Aerobee 150,2,0,1,,200,-6370
34,VAM-20,1,0,1,,10,-6370
35,Aerobee 150A,2,0,1,,200,-6370
35,Aerobee Booster,1,0,1,,10,-6370
36,Aerobee 150,2,0,1,,200,-6370
36,VAM Booster,1,0,1,,10,-6370
37,Aerobee 150,2,0,1,928,200,-6370
37,Nike,1,0,1,640,10,-6370
38,Aerobee 150,2,0,1,,200,-6370
38,Nike,1,0,1,,10,-6370
39,Aerobee 150,2,0,1,,200,-6370
39,Nike,1,0,1,,10,-6370
40,AJ60-92,2,0,1,,250,-6370
40,Nike,1,0,1,,10,-6370
41,AJ60-92,2,0,1,,250,-6370
41,Nike,1,0,1,,10,-6370
42,Aerobee 150,2,0,1,,150,-6370
42,Aerobee Booster,1,0,1,,10,-6370
42,Sparrow,3,0,1,,300,-6370
43,Aerobee 150,2,0,1,,150,-6370
43,Aerobee Booster,1,0,1,,10,-6370
43,Sparrow,3,0,1,,340,-6370
44,AJ60-91,2,0,1,,300,-6370
44,Nike,1,0,1,,10,-6370
45,Aerobee 75,1,0,1,,60,-6370
46,Aerobee AJ10-25,2,0,1,,150,-6370
46,Aerobee Booster,1,0,1,,10,-6370
47,Aerobee AJ10-27,2,0,1,,150,-6370
47,Aerobee Booster,1,0,1,,10,-6370
48,Aerobee AJ10-34,2,0,1,,150,-6370
48,Aerobee Booster,1,0,1,,10,-6370
49,Aerobee 150,2,0,1,,150,-6370
49,Aerobee Booster,1,0,1,,10,-6370
50,Aerobee Booster,1,0,1,,10,-6370
50,Aerobee XASR-1,2,0,1,,150,-6370
51,Aerobee AJ10-25,2,0,1,,150,-6370
51,Aerobee Booster,1,0,1,,10,-6370
52,Aerobee Booster,1,0,1,,10,-6370
52,Aerobee XASR-1,2,0,1,,150,-6370
53,Aerobee AJ10-25,1,0,1,,150,-6370
54,Aerobee Booster,1,0,1,,10,-6370
54,Aerobee XASR-1,2,0,1,,150,-6370
55,Aerobee AJ10-25,2,0,1,,150,-6370
55,Aerobee Booster,1,0,1,,10,-6370
56,Aerobee AJ10-24,2,0,1,,150,-6370
56,Aerobee Booster,1,0,1,,10,-6370
57,Aerobee AJ10-34,2,0,1,,150,-6370
57,Aerobee Booster,1,0,1,,10,-6370
58,Aerobee Booster,1,0,1,,10,-6370
58,Aerobee XASR-1,2,0,1,,150,-6370
59,Aerobee Booster,1,0,1,,10,-6370
59,Aerobee XASR-1,2,0,1,,150,-6370
60,Aerobee Booster,1,0,1,,10,-6370
60,Aerobee XASR-1,2,0,1,,150,-6370
61,Agate,1,0,1,,20,-6300
62,Agni,1,0,1,,40,-6300
63,Agni,1,0,1,,40,-6300
63,Agni II Stage 2,2,0,1,,400,-5000
64,Agni,1,0,1,,40,-6300
64,Agni II Stage 2,2,0,1,,400,-5000
65,Agni III,1,0,1,,40,-6300
65,Agni III Stage 2,2,0,1,,400,-5000
66,Agni,1,0,1,,40,-6300
66,Agni 4 Stage 2,2,0,1,,400,-5000
67,Agni V,1,0,1,,40,-6300
67,Agni V Stage 2,2,0,1,,400,-5000
67,Agni V Stage 3,3,0,1,,400,-5000
68,Agni,1,0,1,,40,-6300
68,Prithvi,2,0,1,,300,-5000
69,Al Abbas,1,0,1,,100,-6200
70,Abid St1,1,0,1,,30,-6300
70,Abid St2,2,1,1,,50,-6000
70,Abid St3,3,1,1,,50,-6000
71,Al Fatah,1,0,1,,100,-6378
72,Al Hussein,1,0,1,,100,-6200
73,Al Hussein,1,0,1,,100,-6200
74,AlKahir,1,0,1,,50,-6378
75,Al Samoud,1,0,1,,50,-6378
76,Al Samoud 2,1,0,1,,100,-6378
77,Alfa,1,0,1,,50,-6300
78,SR19AJ1,1,0,1,,100,-6300
79,Angara URM-1,0,0,4,,200,-6000
79,Angara URM-1,1,0,1,,200,-6000
79,Angara URM-2,2,0,1,,200,200
79,Briz-M,3,0,1,,200,35780
80,Angara URM-1,1,0,1,,200,-6000
80,Angara URM-2,2,0,1,,200,-100
81,Melanie,4,0,1,,150,-6100
81,Mimosa,3,0,1,,150,-6300
81,Neptune,2,0,1,,50,-6350
81,Vesuve,1,0,1,,20,-6370
82,Antares Stage 1,1,0,1,,-5200,200
82,Castor 30,2,0,1,,200,200
83,Antares Stage 1,1,0,1,,-5200,200
83,Castor 30B,2,0,1,,200,200
84,Antares Stage 1,1,0,1,,-5200,200
84,Castor 30XL,2,0,1,,200,200
85,Antares 2 Stage 1,1,0,1,,-5200,200
85,Castor 30XL,2,0,1,,200,200
86,Apache,1,0,1,,60,-6378
87,Apollo LES,1,0,1,,2,-6300
88,Arcas,1,0,1,,90,-6300
89,Arcon,1,0,1,,60,-6300
89,Arcon booster,0,0,1,,1,-6300
90,Ares I-X,1,0,1,,45,-6200
91,Ariane H8,3,0,1,,37800,200
91,Ariane L144,1,0,1,,80,-6130
91,Ariane L33,2,0,1,,160,-4530
92,Ariane H10,3,0,1,,37800,200
92,Ariane L144,1,0,1,,75,-6120
92,Ariane L33,2,0,1,,160,-4760
93,Ariane H10,3,0,1,,37800,200
93,Ariane L144,1,0,1,,87,-6060
93,Ariane L33,2,0,1,,160,-4500
93,PAP,0,0,2,,4,-6370
94,Ariane H10,3,0,1,45144,800,800
94,Ariane L220,1,0,1,621970,80,-5800
94,Ariane L33,2,0,1,98910,180,-3700
95,Ariane H10+,3,0,1,47025,800,800
95,Ariane L220,1,0,1,621970,80,-5800
95,Ariane L33,2,0,1,98910,180,-3700
96,Ariane H10-3,3,0,1,48906,800,800
96,Ariane L220,1,0,1,621970,80,-5800
96,Ariane L33,2,0,1,98910,180,-3700
97,Ariane H10,3,0,1,45144,35787,200
97,Ariane L220,1,0,1,621970,90,-5720
97,Ariane L33,2,0,1,98910,180,-3700
97,PAL,0,0,2,212380,5,-6300
98,Ariane H10+,3,0,1,47025,35787,200
98,Ariane L220,1,0,1,621970,100,-5700
98,Ariane L33,2,0,1,98910,200,-3700
98,PAL,0,0,2,212380,5,-6300
99,Ariane H10-3,3,0,1,48906,35787,200
99,Ariane L220,1,0,1,621970,100,-5700
99,Ariane L33,2,0,1,98910,200,-3700
99,PAL,0,0,2,212380,5,-6300
100,Ariane H10,3,0,1,48906,35787,200
100,Ariane L220,1,0,1,621970,80,-5800
100,Ariane L33,2,0,1,98910,180,-3700
100,PAP,0,0,2,54600,5,-6300
101,Ariane H10+,3,0,1,47025,35787,200
101,Ariane L220,1,0,1,621970,80,-5800
101,Ariane L33,2,0,1,98910,180,-3700
101,PAP,0,0,2,54600,5,-6300
102,Ariane H10-3,3,0,1,48906,35787,200
102,Ariane L220,1,0,1,621970,80,-5800
102,Ariane L33,2,0,1,98910,200,-3700
102,PAP,0,0,2,54600,5,-6300
103,Ariane H10,3,0,1,45144,35787,200
103,Ariane L220,1,0,1,621970,90,-5720
103,Ariane L33,2,0,1,98910,180,-3700
103,PAL,0,0,4,424760,50,-6170
104,Ariane H10+,3,0,1,47025,35787,200
104,Ariane L220,1,0,1,621970,100,-5720
104,Ariane L33,2,0,1,98910,200,-3700
104,PAL,0,0,4,424760,50,-6170
105,Ariane H10-3,3,0,1,48906,35787,200
105,Ariane L220,1,0,1,621970,100,-5720
105,Ariane L33,2,0,1,98910,200,-3700
105,PAL,0,0,4,424760,50,-6170
106,Ariane H10,3,0,1,45144,35787,200
106,Ariane L220,1,0,1,621970,90,-5800
106,Ariane L33,2,0,1,98910,180,-3800
106,PAL,-1,0,2,212380,50,-6200
106,PAP,0,0,2,54600,5,-6370
107,Ariane H10+,3,0,1,47025,35787,200
107,Ariane L220,1,0,1,621970,100,-5700
107,Ariane L33,2,0,1,98910,200,-3700
107,PAL,-1,0,2,212380,50,-6200
107,PAP,0,0,2,54600,5,-6370
108,Ariane H10-3,3,0,1,48906,35787,200
108,Ariane L220,1,0,1,621970,100,-5700
108,Ariane L33,2,0,1,98910,200,-3700
108,PAL,-1,0,2,212380,50,-6200
108,PAP,0,0,2,54600,5,-6370
109,Ariane H10,3,0,1,45144,35787,200
109,Ariane L220,1,0,1,621970,100,-5700
109,Ariane L33,2,0,1,98910,200,-3700
109,PAP,0,0,4,102900,5,-6370
110,Ariane H10-3,3,0,1,48906,35787,200
110,Ariane L220,1,0,1,621970,100,-5700
110,Ariane L33,2,0,1,98910,200,-3700
110,PAP,0,0,4,102900,5,-6370
111,Ariane 5 EPC H175,1,0,1,656146,1500,50
111,Ariane EAP P240,0,0,2,1262652,75,-6100
111,ESC-A,2,0,1,,35780,200
112,Ariane 5 EPC H175,1,0,1,656146,1500,50
112,Ariane 5 EPS P2000,2,0,1,31900,35780,200
112,Ariane EAP P240,0,0,2,1262652,75,-6100
113,Ariane 5 EPC H175,1,0,1,656146,1500,50
113,Ariane 5 EPS P2000,2,0,1,31900,35780,200
113,Ariane EAP P240,0,0,2,1262652,75,-6100
114,Ariane 5 EPC H158,1,0,1,656146,1500,50
114,Ariane 5 EPS,2,0,1,31900,35780,200
114,Ariane EAP P238,0,0,2,1262652,75,-6000
115,Ariane 5 EPC H158,1,0,1,656146,1500,50
115,Ariane 5 EPS P2000,2,0,1,31900,35780,200
115,Ariane EAP P238,0,0,2,1262652,75,-6000
116,Ariane 5 EPC H158,1,0,1,656146,1500,50
116,Ariane 5 EPS P2000,2,0,1,31900,35780,200
116,Ariane EAP P240,0,0,2,1262652,75,-6100
117,M56A1,1,0,1,,300,-6350
118,IAI Arrow-1,1,0,1,,20,-6378
119,IAI Arrow,1,0,1,,10,-6378
119,IAI Arrow St2,2,0,1,,80,-6378
120,Arrow 3,1,0,1,,10,-6378
120,Arrow 3 Stage 2,2,0,1,,80,-6378
121,Sejjil,1,0,1,,50,-6300
121,Sejjil Stage 2,2,0,1,,50,-6300
122,Asp,1,0,1,,30,-6370
123,Asp II,1,0,1,,30,-6370
124,Asp II,1,0,1,,50,-6370
124,Loki,0,0,4,,1,-6378
125,Asp II,1,0,1,,50,-6370
125,Loki,0,0,2,,1,-6378
126,Asp IV,1,0,1,,80,-6370
127,Astra Stage 1,1,0,1,,200,-6378
127,Astra Stage 2,2,0,1,,200,200
128,Astrid,1,0,1,,2,-6378
129,Aerojet Jr,1,0,1,,278,-6300
129,Alcor,2,0,1,,2000,-6065
129,Recruit,0,0,2,,2,-6378
130,Alcor,2,0,1,,300,-6200
130,Nike,1,0,1,,20,-6370
131,Alcor,2,0,1,,0,-6378
131,Asp,3,0,1,,0,-6378
131,Genie,1,0,1,,0,-6378
132,Astrobee D,1,0,1,,120,-6370
133,Astrobee F,1,0,1,,250,-6370
134,Atea-1,1,0,1,,100,-6378
135,Alcor,3,0,1,,600,-5100
135,BE-3A4,4,0,1,,2000,-4000
135,Castor,1,0,1,,45,-6300
135,Recruit,0,0,2,,1,-6378
135,TX-261-2,2,0,1,,200,-6250
136,Alcor IA,3,0,1,,2000,-4000
136,Antares 2,2,0,1,,200,-6250
136,Castor 4,1,0,1,,60,-6300
136,Recruit,0,0,4,,1,-6378
137,Castor 120,1,0,1,133774,140,-5900
137,OAM,3,0,1,500,800,240
137,Orbus 21D,2,0,1,28050,200,-340
138,Castor 120,2,0,1,133774,180,-5600
138,Castor 120,1,0,1,133774,20,-6300
138,OAM,4,0,1,500,600,200
138,Orbus 21D,3,0,1,28050,400,200
139,Atlas III,1,0,1,788880,200,-5800
139,Centaur IIIA,2,0,1,73408,2000,200
140,Atlas III,1,0,1,,200,-5800
140,Centaur IIIB/DEC,2,0,1,,2000,200
141,Atlas III,1,0,1,,200,-5800
141,Centaur IIIB/SEC,2,0,1,,2000,200
142,Atlas A,1,0,1,,120,-6100
142,Atlas A Booster,0,0,1,,120,-6100
143,AJ10-101A,2,0,1,,1290,-1000
143,Altair,3,0,1,,1000,200
143,Atlas D,1,0,1,,1290,-1000
143,Atlas D Booster,0,0,1,,120,-6100
144,Agena A,2,0,1,,3360,140
144,Atlas D,1,0,1,,173,-2226
144,Atlas D Booster,0,0,1,,120,-6000
145,Agena B,2,0,1,,500,200
145,Atlas D,1,0,1,,180,-5000
145,Atlas D Booster,0,0,1,,120,-6100
146,Agena D,2,0,1,,300,300
146,Atlas D,1,0,1,,300,-4400
146,Atlas D Booster,0,0,1,,130,-5950
147,Atlas B,1,0,1,,900,-4000
147,Atlas B Booster,0,0,1,,120,-6100
148,Atlas Booster,0,0,1,,120,-6100
148,Atlas SLV-3,1,0,1,,600,-4000
148,Star 37B,2,0,1,,600,-2000
149,Atlas Booster,0,0,1,,120,-6100
149,Atlas F,1,0,1,,300,-3300
149,Star 26B,3,0,1,,740,740
149,Star 37B,2,0,1,,740,-1240
150,Atlas C,1,0,1,,900,-4000
150,Atlas C Booster,0,0,1,,120,-6100
151,AJ10-101A,2,0,1,,0,-6378
151,Altair,3,0,1,,0,-6378
151,Atlas C,1,0,1,,0,-6378
