ORG_CODE,ORG_NAME,ORG_CLASS,PARENT_ORG_CODE,ORG_STATE_CODE,ORG_LOCATION,ORG_START_DATE,ORG_STOP_DATE,ORG_UTF8_NAME
10ADS,"USAF Aerospace Defence Command, 10th Aerospace Defence Sqn.",defense,AFADC,US,"Vandenberg AFB, California",1966-01-01 00:00:00,,"USAF Aerospace Defence Command, 10th Aerospace Defence Sqn."
11TMS,"11th Tactical Missile Sqn, USAF",defense,USAF,US,"Patrick AFB, Florida",1954-01-01 00:00:00,,"11th Tactical Missile Sqn, USAF"
1GMR,"1st Guided Missile Regiment, US Army, White Sands",defense,USA,US,"White Sands Proving Ground, New Mexico",1948-01-01 00:00:00,1950-01-01 00:00:00,"1st Guided Missile Regiment, US Army, White Sands"
1GMS,"1st Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,,"1st Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)"
1PBS,"1st Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,,"1st Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]"
1STRAD,"1st Strategic Aerospace Division, SAC",defense,USAF,US,"Vandenberg AFB, California",1961-07-21 00:00:00,1990-07-31 00:00:00,"1st Strategic Aerospace Division, SAC"
209FA,"US 209th Field Artillery, 333rd Artillery, 4th Missile Battalion",defense,USA,US,"Ft. Sill, Oklahoma",1958-01-01 00:00:00,1964-01-01 00:00:00,"US 209th Field Artillery, 333rd Artillery, 4th Missile Battalion"
21AT,TwentyFirst Century Aerospace Technology Co.,academic/non-profit,,CN,Beijing:Haidian,2011-01-01 00:00:00,,二十一世纪空间技术应用股份有限公司
2GMS,"2nd Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)",defense,USAF,US,"Holloman AFB, New Mexico",1950-01-01 00:00:00,,"2nd Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)"
2SLS,Boeing/USAF 2SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,Boeing/USAF 2SLS
30FA2,US Army 30th Field Artillery Bttn 2,defense,USA,US,"Ft Sill, Oklahoma",1970-01-01 00:00:00,,US 30th Field Artillery Bttn 2
30SW,USAF 30th Space Wing,defense,USAF,US,"Vandenberg AFB, California",1997-01-01 00:00:00,,USAF 30th Space Wing
321SMW,USAF 321 Strategic Missile Wing,defense,USAF,US,"Grand Forks AFB, N Dakota",,,USAF 321 Strategic Missile Wing
341MW,USAF 341 Missile Wing,defense,USAF,US,"Malstrom AFB, Montana",,1993-01-01 00:00:00,USAF 341 Missile Wing
341SMW,USAF 341 Missile Wing,defense,USAF,US,"Malstrom AFB, Montana",1993-01-01 00:00:00,2000-01-01 00:00:00,USAF 341 Missile Wing
341SW,USAF 341 Space Wing,defense,USAF,US,"Malstrom AFB, Montana",2000-01-01 00:00:00,,USAF 341 Space Wing
351SMW,USAF 351 Strategic Missile Wing,defense,USAF,US,"Whiteman AFB, Missouri",1962-01-01 00:00:00,1995-01-01 00:00:00,USAF 351 Strategic Missile Wing
36AIS,36th Strategic Interdiction Squadron,defense,AMI,I,Gioia del Colle,1956-01-01 00:00:00,1963-01-01 00:00:00,36 Aerobrigata interdizione strategica (36 Strategic Interdict.Sqn)
3GMS,"3rd Guided Missile Squadron, 550th Guided Missile Wing [Lark]",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,1950-01-01 00:00:00,"3rd Guided Missile Squadron, 550th Guided Missile Wing [Lark]"
3SLS,USAF 3SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,USAF 3SLS
40FA,"US 40th Field Artillery, 217th Field Artillery Missile Battalion",defense,USA,US,"Huntsville, Alabama",1958-01-01 00:00:00,1959-01-01 00:00:00,"US 40th Field Artillery, 217th Field Artillery Missile Battalion"
40FA1,"US 40th Field Artillery, 333rd Artillery, 1st Missile Battalion",defense,USA,US,"Huntsville, Alabama",1959-01-01 00:00:00,1964-01-01 00:00:00,"US 40th Field Artillery, 333rd Artillery, 1st Missile Battalion"
41FA1,"US 41st Field Artillery, Battalion 1, US 7th Army",defense,USA,US,"Schwabisch Gmund, Baden:Wurttemberg",1964-01-01 00:00:00,1991-01-01 00:00:00,"US 41st Field Artillery, Battalion 1, US 7th Army"
41FA4,"US 41st Field Artillery, Battalion 4",defense,USA,US,"Ft. Sill, Oklahoma",1962-01-01 00:00:00,1964-01-01 00:00:00,"US 41st Field Artillery, Battalion 4"
44FA2,"US 44th Field Artillery, Battalion 2",defense,USA,US,"Ft. Sill, Oklahoma",,1991-01-01 00:00:00,"US 44th Field Artillery, Battalion 2"
44SMW,USAF 44th Strategic Missile Wing,defense,USAF,US,"Ellsworth AFB, Rapid City, S Dakota",1962-01-01 00:00:00,1991-04-01 00:00:00,USAF 44th Strategic Missile Wing
4504MTW,USAF 4504 Missile Training Wing,defense,USAF,US,"Patrick AFB, Florida",1961-01-01 00:00:00,,USAF 4504 Missile Training Wing
4505M,USAF 4505 Missile Training Wing,defense,USAF,US,"Patrick AFB, Florida",1961-01-01 00:00:00,,USAF 4505 Missile Training Wing
455SMW,USAF 455th Strategic Missile Wing,defense,USAF,US,"Minot AFB, N Dakota",1962-01-01 00:00:00,1968-01-01 00:00:00,USAF 455th Strategic Missile Wing
46FA2,"US 46th Field Artillery, 333rd Artillery, 2nd Missile Battalion",defense,USA,US,"Ft. Sill, Oklahoma",1958-01-01 00:00:00,1964-01-01 00:00:00,"US 46th Field Artillery, 333rd Artillery, 2nd Missile Battalion"
4803GMS,"4803rd Guided Missile Squadron, 4800 Guided Missile Wing [Lark]",defense,USAF,US,"Patrick AFB, Florida",1951-01-01 00:00:00,1953-01-01 00:00:00,"4803rd Guided Missile Squadron, 4800 Guided Missile Wing [Lark]"
4SLS,USAF 4SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,USAF 4SLS
4WG,"USAF 4th Weather Group, Ft Churchill (AWS)",defense,AWS,US,"Churchill, Manitoba",,,"USAF 4th Weather Group, Ft Churchill (AWS)"
556SMS,USAF 556th Strategic Missile Squadron,defense,USAF,US,"Cape Canaveral AFS, Florida",1958-01-01 00:00:00,,USAF 556th Strategic Missile Squadron
564SMS,USAF 564th Strategic Missile Squadron,defense,USAF,US,"Malstrom AFB, Montana",,,USAF 564th Strategic Missile Squadron
