STAGE_NAME,MANUFACTURER_ORG_CODE
10KS2500,THKE
11A57I,OKB1
11S510,OKB1
11S510 (F),OKB1
11S59,OKB1
11S59A,OKB1
11S59A-S,OKB1
11S691,YUZH
11S692,OKB586
11S771,YUZH
11S772,YUZH
11S824,NPOE
11S824F,NPOE
11S824M,NPOE
11S86,NPOE
11S861,NPOE
11S861-01,NPOE
11S861-03,NPOE
12KRB,KHRU
14S53,OKB1
14S53A,OKB1
14S54,OKB1
14S54/RD-0110,OKB1
15A14A,YUZH
15A14B,YUZH
15A18-BR,YUZH
15A18A,YUZH
15A18B,YUZH
15Zh44 St 1,PAVKH
15Zh44 St 2,PAVKH
15Zh52 St 1,PAVKH
15Zh52 St 2,PAVKH
15Zh58A,MITT
15Zh58B,MITT
15Zh58MA,MITT
15Zh58MB,MITT
15Zh58MV,MITT
15Zh58V,MITT
15Zh59A,MITT
15Zh59B,MITT
15Zh59V,MITT
15Zh60 St 1,PAVKH
15Zh60 St 2,PAVKH
15Zh61 St 1,PAVKH
15Zh61 St 2,PAVKH
17S40,NPOE
2.5-DS-59000,ABL
22.6KS1245,HUMS
27D6,FAKEL
28D6,FAKEL
29D6,FAKEL
374BL01A,OKB1
374BL01A-A,OKB1
374BL01B,OKB1
374BL01B-A,OKB1
374BL02A,OKB1
374BL02B,OKB1
48N6,FAKEL
53T6,NOVTR
5Ya26,NOVTR
8A92E,OKB1
8A92ME,OKB1
8K71,OKB1
8K71A,OKB1
8K72E,OKB1
8K72EL,OKB1
8K72KE,OKB1
8K74,OKB1
8K74A,OKB1
8K75A,OKB1
8K75B,OKB1
8K78I,OKB1
8K94,YUZH
8K95A,OKB1
8K95B,OKB1
8K95V,OKB1
8K96A,ARSL
8K96A (RT-2P),ARSL
8K96B,ARSL
8K96B,PERM
8K96B (RT-15),ARSL
8K96B (RT-15),PERM
8K96B (RT-2P),ARSL
8K96B (RT-2P),PERM
8K98A,OKB1
8K98A,PERM
8K98B,OKB1
8K98B,PERM
8K98PA,ARSL
8K98V,ARSL
8K98V,PERM
8K99A,YUZH
8S641,OKB586
8S642,OKB586
8S671,YUZH
8S672,OKB586
8S691,YUZH
8S692,OKB586
8S810,OKB52
8S810M,OKB52
8S811,OKB52
8S812,OKB52
8S812M,OKB52
8S816,KHRU
8S817,KHRU
A-1,OKB1
A-350,SKB30
A-350 Booster,SKB30
A-350Zh,SKB30
